Location,Age_Group,Population,Week,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
All King County,50-59,270375.02,08/12/20 - 08/18/20,4790,4942,122,12,2
All King County,60-69,219475.51,08/12/20 - 08/18/20,3553,3675,61,11,2
All King County,70-79,122090.34,08/12/20 - 08/18/20,1969,2052,36,13,2
All King County,80+,61987.13,08/12/20 - 08/18/20,1231,1314,34,11,13
All King County,Unknown,0,08/12/20 - 08/18/20,56,56,0,0,0
All King County,0-9,257228.65,08/19/20 - 08/25/20,1242,1252,53,0,0
All King County,10-19,254148.03,08/19/20 - 08/25/20,2594,2654,104,0,0
All King County,20-29,207537.14,08/19/20 - 08/25/20,7963,8834,171,2,0
All King County,30-39,394262.07,08/19/20 - 08/25/20,7454,7894,148,7,0
All King County,40-49,296609.58,08/19/20 - 08/25/20,4512,4816,125,5,0
All King County,50-59,270375.02,08/19/20 - 08/25/20,4349,4555,97,13,0
All King County,60-69,219475.51,08/19/20 - 08/25/20,3403,3533,75,14,1
All King County,70-79,122090.34,08/19/20 - 08/25/20,1999,2064,26,6,2
All King County,80+,61987.13,08/19/20 - 08/25/20,1377,1444,16,6,4
All King County,Unknown,0,08/19/20 - 08/25/20,38,38,0,0,0
All King County,0-9,257228.65,08/26/20 - 09/01/20,1134,1143,50,0,0
All King County,10-19,254148.03,08/26/20 - 09/01/20,2358,2434,114,1,0
All King County,20-29,207537.14,08/26/20 - 09/01/20,8384,9278,164,1,0
All King County,30-39,394262.07,08/26/20 - 09/01/20,7671,8136,137,2,0
All King County,40-49,296609.58,08/26/20 - 09/01/20,4389,4698,112,6,0
All King County,50-59,270375.02,08/26/20 - 09/01/20,4256,4471,86,7,0
All King County,60-69,219475.51,08/26/20 - 09/01/20,3478,3610,67,6,1
All King County,70-79,122090.34,08/26/20 - 09/01/20,1992,2072,17,3,3
All King County,80+,61987.13,08/26/20 - 09/01/20,1224,1297,11,2,5
All King County,Unknown,0,08/26/20 - 09/01/20,30,30,0,0,0
All King County,0-9,257228.65,09/02/20 - 09/08/20,1094,1107,34,1,0
All King County,10-19,254148.03,09/02/20 - 09/08/20,2117,2178,77,2,0
All King County,20-29,207537.14,09/02/20 - 09/08/20,7234,8024,145,5,0
All King County,30-39,394262.07,09/02/20 - 09/08/20,6741,7176,132,3,0
